id_tin,so_moc_phai_co,so_moc_bi_bo_sot,ghi_chu
C01_khong_ghi_so_nam,4,1,Mất mốc 2019 (thay bằng '4 năm' tự cộng)
C02_ketoan_khop,5,0,
C03_fresher_mong,3,0,
C04_trai_nganh,3,1,Mất 'bất động sản' (không nêu tên công ty/lĩnh vực)
C05_nhay_viec_nhieu_moc,3,0,
C06_text_pdf_lon_xon,3,1,Mất 'kỹ sư cơ khí' (gọi là kỹ thuật viên)
C07_song_ngu,4,1,"PHÂN VÂN: mốc 2020 chỉ xuất hiện ở năm tốt nghiệp, không phải mốc bắt đầu đi làm"
C08_thanh_tich_nhieu_so,4,1,"PHÂN VÂN: mốc 2021 chỉ hiện trong '(2017–2021)' của công ty cũ, không nói lên trưởng nhóm từ 2021"
C09_khoang_trong_su_nghiep,4,1,Mất khoảng nghỉ 2 năm
C10_liet_ke_cong_nghe,4,0,
