id,so_cau,dung,bo_sot,bia,suydien,saiso,saorong,precision,recall,f1
C01_khong_ghi_so_nam,4,4,0,0,0,0,0,1.0,1.0,1.0
C02_ketoan_khop,2,2,0,0,0,0,0,1.0,1.0,1.0
C03_fresher_mong,3,3,1,0,0,0,0,1.0,0.75,0.857
C04_trai_nganh,3,2,1,0,0,1,0,0.667,0.667,0.667
C05_nhay_viec_nhieu_moc,3,3,2,0,0,0,0,1.0,0.6,0.75
C06_text_pdf_lon_xon,3,3,0,0,0,0,0,1.0,1.0,1.0
C07_song_ngu,4,3,1,0,0,1,0,0.75,0.75,0.75
C08_thanh_tich_nhieu_so,5,5,0,0,0,0,0,1.0,1.0,1.0
C09_khoang_trong_su_nghiep,3,2,3,0,0,1,0,0.667,0.4,0.5
C10_liet_ke_cong_nghe,4,2,0,0,2,0,0,0.5,1.0,0.667
TONG,34,29,8,0,2,3,0,0.853,0.784,0.817
