id,de_xuat,dung,bo_sot,bia,dauviec,giayto,gop,trung,precision,recall,f1
J01_ke_toan,8,5,0,0,0,1,1,1,0.625,1.0,0.7692
J02_kinh_doanh,7,7,0,0,0,0,0,0,1.0,1.0,1.0
J03_kho_van,9,5,0,0,0,1,1,2,0.5556,1.0,0.7143
J04_dotnet,8,6,0,0,0,0,2,0,0.75,1.0,0.8571
J05_hanh_chinh,10,2,1,0,4,1,3,0,0.2,0.6667,0.3077
J06_le_tan,8,7,0,0,0,1,0,0,0.875,1.0,0.9333
J07_marketing,5,4,0,0,0,0,1,0,0.8,1.0,0.8889
J08_cskh,8,7,0,0,0,1,0,0,0.875,1.0,0.9333
J09_chi_dau_viec,7,0,0,0,7,0,0,0,0.0,1.0,0.0
J10_qua_nhieu,10,8,0,0,0,0,2,0,0.8,1.0,0.8889
TONG,80,51,1,0,11,5,10,3,0.6375,0.9808,0.7727
