id,de_xuat,dung,bo_sot,bia,dauviec,giayto,gop,trung,precision,recall,f1
J01_ke_toan,8,7,1,0,0,1,0,0,0.875,0.875,0.875
J02_kinh_doanh,7,7,0,0,0,0,0,0,1.0,1.0,1.0
J03_kho_van,5,3,2,0,0,1,1,0,0.6,0.6,0.6
J04_dotnet,8,6,0,0,0,0,2,0,0.75,1.0,0.8571
J05_hanh_chinh,9,7,1,0,0,1,1,0,0.7778,0.875,0.8235
J06_le_tan,8,6,1,0,0,2,0,0,0.75,0.8571,0.8
J07_marketing,5,4,0,0,0,0,1,0,0.8,1.0,0.8889
J08_cskh,7,5,0,0,0,1,1,0,0.7143,1.0,0.8333
J09_chi_dau_viec,0,0,0,0,0,0,0,0,,,
J10_qua_nhieu,10,8,0,0,0,0,2,0,0.8,1.0,0.8889
TONG,67,53,5,0,0,6,8,0,0.791,0.9138,0.848
