id,tieu_chi,nhan,ghi_chu
J01_ke_toan,Tốt nghiệp Cao đẳng trở lên chuyên ngành Kế toán - Kiểm toán,GIAYTO,Nhìn bằng là xong
J01_ke_toan,Có tối thiểu 2 năm kinh nghiệm ở vị trí kế toán tổng hợp,DUNG,
J01_ke_toan,Nắm vững chế độ kế toán và luật thuế hiện hành,DUNG,"Chế độ kế toán và luật thuế là một mảng kiến thức, chấm một điểm"
J01_ke_toan,Sử dụng thành thạo phần mềm kế toán MISA hoặc Fast,DUNG,"MISA/Fast là hai biến thể cùng một thứ, không tính gộp"
J01_ke_toan,"Thành thạo Excel (hàm SUMIF, VLOOKUP, PivotTable)",DUNG,
J01_ke_toan,"Cẩn thận, trung thực, chịu được áp lực mùa quyết toán",GOP,"Ba tính cách độc lập, phải cho ba điểm — V3/V4 tách đúng"
J01_ke_toan,Kỹ năng báo cáo tài chính,DUNG,Có trong skill_tags nên không tính bịa
J01_ke_toan,Kỹ năng thuế GTGT,TRUNG,Đã nằm trong dòng 'luật thuế hiện hành'
J02_kinh_doanh,Kinh nghiệm bán hàng B2B,DUNG,
J02_kinh_doanh,Kỹ năng đàm phán và thuyết phục,DUNG,"Thuyết phục là một phần của đàm phán, một điểm"
J02_kinh_doanh,"Kỹ năng giao tiếp, xây dựng quan hệ khách hàng",DUNG,"Xây dựng quan hệ là giao tiếp áp dụng vào bán hàng, một điểm"
J02_kinh_doanh,Chủ động tìm kiếm khách hàng mới,DUNG,
J02_kinh_doanh,Có thể chịu được áp lực doanh số,DUNG,
J02_kinh_doanh,Sẵn tệp khách hàng ngành xây dựng,DUNG,"CV không thể hiện, phải hỏi mới biết"
J02_kinh_doanh,Kỹ năng sử dụng CRM,DUNG,Có trong skill_tags
J03_kho_van,Tốt nghiệp THPT trở lên,GIAYTO,Nhìn bằng là xong
J03_kho_van,"Sức khỏe tốt, có thể làm việc theo ca",DUNG,"Ca ranh giới: mơ hồ và có kèm điều kiện ca làm, nhưng tin có nêu và người phỏng vấn vẫn hỏi được"
J03_kho_van,"Biết sử dụng máy tính văn phòng cơ bản (Word, Excel)",DUNG,"Một mức độ 'tin học văn phòng cơ bản', phần trong ngoặc chỉ là ví dụ"
J03_kho_van,"Cẩn thận, trung thực trong kiểm đếm hàng hóa",GOP,Cẩn thận (không nhầm số) và trung thực (không gian lận) là hai điểm khác nhau
J03_kho_van,Ưu tiên có kinh nghiệm vận hành xe nâng,DUNG,
J03_kho_van,Quản lý kho,DUNG,Từ skill_tags; tên hơi trống nhưng hỏi được
J03_kho_van,Kiểm kê,DUNG,Từ skill_tags
J03_kho_van,Xe nâng,TRUNG,Trùng dòng 'kinh nghiệm vận hành xe nâng' cùng tin
J03_kho_van,Excel,TRUNG,"Trùng dòng 'máy tính văn phòng cơ bản (Word, Excel)'"
J04_dotnet,Kinh nghiệm với C# và ASP.NET Core,GOP,Ngôn ngữ và framework chấm riêng được — V4 tách đúng
J04_dotnet,Kinh nghiệm với Entity Framework,DUNG,
J04_dotnet,Kinh nghiệm với REST API,DUNG,
J04_dotnet,Kinh nghiệm với kiến trúc microservices,DUNG,
J04_dotnet,Thành thạo SQL Server và viết stored procedure,GOP,Dùng được SQL Server khác với viết được stored procedure — V4 tách đúng
J04_dotnet,Sử dụng được Git trong quy trình làm việc nhóm,DUNG,
J04_dotnet,Tiếng Anh đọc hiểu tài liệu kỹ thuật,DUNG,
J04_dotnet,"Tư duy phân tích, giải quyết vấn đề độc lập",DUNG,"Một năng lực giải quyết vấn đề, một điểm"
J05_hanh_chinh,"Tốt nghiệp Đại học các ngành Quản trị nhân lực, Luật hoặc tương đương",GIAYTO,Nhìn bằng là xong
J05_hanh_chinh,Có 1 năm kinh nghiệm ở vị trí hành chính nhân sự,DUNG,
J05_hanh_chinh,"Nắm được quy định về BHXH, hợp đồng lao động",DUNG,"Cùng một mảng pháp luật lao động, một điểm"
J05_hanh_chinh,"Thành thạo Word, Excel, biết dùng phần mềm chấm công",GOP,Ba công cụ khác nhau — V3/V4 tách đúng
J05_hanh_chinh,Kỹ năng giao tiếp và sắp xếp công việc tốt,GOP,Giao tiếp và tổ chức công việc là hai năng lực rời — V3/V4 tách đúng
J05_hanh_chinh,"Cẩn thận, bảo mật thông tin",GOP,Cẩn thận và ý thức bảo mật là hai điểm khác nhau; không phiên bản nào tách
J05_hanh_chinh,BHXH,TRUNG,"Trùng dòng 'quy định về BHXH, hợp đồng lao động'"
J05_hanh_chinh,Hợp đồng lao động,TRUNG,"Trùng dòng 'quy định về BHXH, hợp đồng lao động'"
J05_hanh_chinh,Tính lương,DUNG,Từ skill_tags
J05_hanh_chinh,Excel,TRUNG,"Trùng dòng 'Thành thạo Word, Excel, biết dùng phần mềm chấm công'"
J06_le_tan,Ngoại hình,GIAYTO,"Nhìn là biết, không chấm phỏng vấn (rubric chốt sẵn)"
J06_le_tan,Tiếng Anh giao tiếp,DUNG,Rubric chốt: tiếng Anh giao tiếp phải nói mới biết
J06_le_tan,Biết thêm tiếng Trung hoặc Hàn,DUNG,
J06_le_tan,Kỹ năng giao tiếp,DUNG,
