id,de_xuat,dung,bo_sot,bia,dauviec,giayto,gop,trung,precision,recall,f1
J01_ke_toan,8,5,0,0,0,1,1,1,0.625,1.0,0.7692
J02_kinh_doanh,7,7,0,0,0,0,0,0,1.0,1.0,1.0
J03_kho_van,9,5,0,0,0,1,1,2,0.5556,1.0,0.7143
J04_dotnet,8,6,0,0,0,0,2,0,0.75,1.0,0.8571
J05_hanh_chinh,10,3,0,0,0,1,3,3,0.3,1.0,0.4615
J06_le_tan,7,6,1,0,0,1,0,0,0.8571,0.8571,0.8571
J07_marketing,5,4,0,0,0,0,1,0,0.8,1.0,0.8889
J08_cskh,6,3,0,0,0,1,2,0,0.5,1.0,0.6667
J09_chi_dau_viec,7,0,0,0,7,0,0,0,0.0,1.0,0.0
J10_qua_nhieu,13,8,0,0,0,3,2,0,0.6154,1.0,0.7619
TONG,80,47,1,0,7,8,12,6,0.5875,0.9792,0.7344
