id,json_hop_le,so_cau,dung_khuon_3_5_cau,so_luong_so_la,so_la,ti_le_sao_rong,nhac_dinh_dang,so_moc_thieu,so_moc_phai_co,so_ky_tu,on_dinh,giay
C01_khong_ghi_so_nam,True,3,True,1,5,0.333,False,2,4,524,1.0,4.1
C02_ketoan_khop,True,2,False,0,,0.0,False,0,5,342,1.0,2.52
C03_fresher_mong,True,3,True,0,,0.0,False,1,3,313,0.603,2.23
C04_trai_nganh,True,3,True,0,,0.333,False,1,3,558,0.989,3.87
C05_nhay_viec_nhieu_moc,True,3,True,0,,0.0,False,2,3,360,1.0,2.79
C06_text_pdf_lon_xon,True,3,True,0,,0.0,False,2,3,370,0.866,3.02
C07_song_ngu,True,5,True,0,,0.0,False,2,4,563,0.921,3.66
C08_thanh_tich_nhieu_so,True,4,True,2,4; 3,0.0,False,2,4,404,0.539,3.07
C09_khoang_trong_su_nghiep,True,5,True,1,4,0.0,False,3,4,543,0.745,4.42
C10_liet_ke_cong_nghe,True,3,True,0,,0.0,False,3,4,449,1.0,3.05
