id_tin,so_moc_phai_co,so_moc_bi_bo_sot,ghi_chu
C01_khong_ghi_so_nam,4,1,Mất 'ĐH Bách khoa Hà Nội'
C02_ketoan_khop,5,0,
C03_fresher_mong,3,1,Mất 'Cao đẳng FPT'
C04_trai_nganh,3,0,
C05_nhay_viec_nhieu_moc,3,1,Chỉ kể 2/5 nơi làm — mất ý 'nhiều nơi làm việc'
C06_text_pdf_lon_xon,3,2,"Mất 'kỹ sư cơ khí', 'Cao đẳng Cao Thắng'"
C07_song_ngu,4,2,"Mất mốc 2020, 'ĐH Ngoại thương'"
C08_thanh_tich_nhieu_so,4,2,"Mất 'đội 12 người', mốc 2021"
C09_khoang_trong_su_nghiep,4,2,"Mất khoảng nghỉ 2 năm, 'ĐH Lao động Xã hội'"
C10_liet_ke_cong_nghe,4,1,Mất mốc 2022
