id_tin,stt_cau,cau,nhan,ghi_chu
C01_khong_ghi_so_nam,1,"trần quốc hưng là một ứng viên có kinh nghiệm 5 năm trong lĩnh vực lập trình backend, với chuyên môn về c# và asp.net core.",SAISO,"CV chỉ có mốc 03/2019 – nay, không ghi số năm; model tự cộng"
C01_khong_ghi_so_nam,2,"anh từng làm việc tại công ty cp giải pháp phần mềm tân việt (03/2019 đến nay) và công ty tnhh phần mềm minh long (07/2017 đến 02/2019), nơi đã phát triển hệ thống quản lý đơn hàng, thiết kế rest api, tối ưu sql server và xử lý sự cố hiệu năng.",DUNG,
C01_khong_ghi_so_nam,3,"anh cũng có kỹ năng sử dụng sql server, viết stored procedure, jwt, và có thể là ứng viên phù hợp với vị trí lập trình viên backend (.net) đang tuyển dụng.",DUNG,PHÂN VÂN: nửa sau là phán xét 'có thể phù hợp'; giữ DUNG vì câu mang dữ kiện riêng của CV
C02_ketoan_khop,1,"lê thị mai hương là ứng viên có 6 năm kinh nghiệm làm kế toán tổng hợp tại công ty cp thương mại đại phúc, với trách nhiệm hạch toán nghiệp vụ, lập báo cáo thuế và tài chính, làm việc với kiểm toán và cơ quan thuế.",DUNG,CV ghi thẳng '6 năm kinh nghiệm ở vị trí này'
C02_ketoan_khop,2,"cô tốt nghiệp cử nhân kế toán từ đại học kinh tế quốc dân, thành thạo phần mềm misa và excel, nắm vững quy định thuế hiện hành.",DUNG,
C03_fresher_mong,1,"nguyễn hoàng long là sinh viên mới tốt nghiệp ngành ứng dụng phần mềm, có kinh nghiệm thực tế với reactjs thông qua đồ án tốt nghiệp.",SUYDIEN,PHÂN VÂN: CV ghi 'ReactJS (mức đồ án)'; gọi là 'kinh nghiệm thực tế' là nâng quá mức CV nói
C03_fresher_mong,2,"anh có kỹ năng cơ bản về html, css, javascript và git.",DUNG,
C03_fresher_mong,3,"dù chưa có kinh nghiệm làm việc chuyên sâu, nhưng anh thể hiện mong muốn học hỏi và phát triển trong lĩnh vực lập trình web.",DUNG,Neo ở mục MỤC TIÊU; nói thẳng là chưa có kinh nghiệm = DUNG (luật mục 2)
C04_trai_nganh,1,"cv của phạm đức thắng thể hiện kinh nghiệm làm việc trong lĩnh vực kinh doanh, bao gồm 3 năm làm chuyên viên kinh doanh tại công ty cp bất động sản thành đô và 2 năm làm nhân viên bán hàng tại công ty tnhh phân phối hàng tiêu dùng bình minh.",SAISO,Tự tính '3 năm Thành Đô + 2 năm Bình Minh' — CV chỉ có mốc 05/2021–nay và 09/2018–04/2021
C04_trai_nganh,2,"anh có kinh nghiệm tư vấn, bán sản phẩm, xây dựng và chăm sóc khách hàng, cùng với kỹ năng đàm phán, sử dụng phần mềm crm và excel.",DUNG,
C04_trai_nganh,3,"tuy nhiên, cv không có kinh nghiệm lập trình, đặc biệt là c# / asp.net core, sql server hay rest api, do đó không phù hợp với vị trí lập trình viên backend (.net) đang được tuyển dụng.",DUNG,Nêu đúng CV không có nền lập trình (mốc bắt buộc của C04); đuôi 'không phù hợp' là phán xét nhưng câu có dữ kiện riêng
C05_nhay_viec_nhieu_moc,1,"đỗ thị thanh vân có kinh nghiệm 2 năm trong lĩnh vực chăm sóc khách hàng, bao gồm làm nhân viên chăm sóc khách hàng tại viettravel và tư vấn viên khóa học tại trung tâm anh ngữ sao mai.",SAISO,Tự cộng; riêng VietTravel 06/2023–nay + Sao Mai 08/2019–02/2021 đã hơn 2 năm
C05_nhay_viec_nhieu_moc,2,"cô có kỹ năng giao tiếp, xử lý khiếu nại, sử dụng word và excel cơ bản, và tiếng anh giao tiếp (toeic 600).",DUNG,
C05_nhay_viec_nhieu_moc,3,cv phù hợp với yêu cầu công việc chăm sóc khách hàng tại tổng đài.,SAORONG,Chỉ có phán xét
C06_text_pdf_lon_xon,1,"cv ứng viên võ hoàng minh có kinh nghiệm 2 năm trong vận hành máy cnc, từng làm việc tại công ty tnhh cơ khí chính xác đạiphát và công ty cp cơ khí thanh công.",SAISO,CV: CNC 04/2020 – nay; '2 năm' không khớp (nhiều khả năng lấy từ '2 ca'). Tên cty 'Thành Công' đọc thành 'thanh công'
C06_text_pdf_lon_xon,2,"anh có kỹ năng vận hành máy phay cnc 3 trục, máy tiện cnc, đọc bản vẽ kỹ thuật, sử dụng thước cặp và panme để kiểm tra sản phẩm.",DUNG,
C06_text_pdf_lon_xon,3,"ngoài ra, ứng viên còn có khả năng làm việc theo ca và sử dụng autocad 2d cơ bản.",DUNG,
C07_song_ngu,1,"nguyen thi phuong linh là ứng viên có 2 năm kinh nghiệm trong lĩnh vực digital marketing, hiện đang làm digital marketing executive tại abc digital agency.",SAISO,CV 09/2020 – Present; '2 năm' là con số của JD
C07_song_ngu,2,cô có kinh nghiệm chạy quảng cáo google ads và facebook ads cho các khách hàng e-commerce với ngân sách lên đến 300 triệu vnd/tháng.,DUNG,"PHÂN VÂN: CV 'around 300 million VND in total' (tổng 6 khách), model viết 'lên đến' — gần đúng"
C07_song_ngu,3,linh cũng có khả năng đo lường hiệu quả chiến dịch bằng google analytics 4 và tạo báo cáo định kỳ.,DUNG,
